,0,1
0,bye,101.0
1,labreche,101.0
2,devient,101.0
3,parodie,101.0
4,《谈判官》第37、38集预告：飞总超,101.0
5,求婚童薇小姐姐,101.0
6,بدل,101.0
7,وحید,101.0
8,حقانیان؟,101.0
9,مشاور,101.0
10,دستگیر,101.0
11,شده,101.0
12,خامنه,101.0
13,final（杨子姗、郑恺、张国立、江珊,101.0
14,daughter,101.14908195199862
15,midday,101.5
16,cuomo,101.6659465460594
17,第13集（主演,102.0
18,experience,102.0383287606112
19,وردة,102.20305806029337
20,شامية,102.20305806029337
21,warda,102.20305806029337
22,shamya,102.20305806029337
23,must,102.74164462081129
24,nasime,103.0
25,sabz,103.0
26,hot,103.1135635924004
27,skating,103.25
28,deep,104.1480832346115
29,marie-louise,106.0
30,arsenault,106.0
31,réplique,106.0
32,denise,106.0
33,bombardier,106.0
34,1998,106.0
35,43（张嘉译、王珞丹、柯蓝等主演）,106.0
36,stunned,106.0
37,dealing,106.0
38,108,106.0
39,els,106.5111111111111
40,nb_vs.,107.0
41,denny,107.0
42,june,107.68194444444445
43,plats,107.86309523809523
44,plates,107.86309523809523
45,world,107.87571027560011
46,nb_christmas,108.0
47,kia,108.0
48,stinger,108.0
49,pricing,108.0
50,nb_paul,109.0
51,nb_songs,109.0
52,《谈判官》15,109.0
53,16集预告,109.0
54,谢晓飞童薇分手后，谢晓飞要回纽约,109.0
55,谢晓飞童薇道别（,109.0
56,stormy,109.60714285714286
57,reason,109.80258928571429
58,anil,110.0
59,sonam,110.0
60,remembrance,111.0
61,trio,111.0
62,mazda,111.0
63,dimanches_,112.0
64,pic-bois,112.0
65,middleton,112.41061507936507
66,n't,112.4277843068645
67,people,112.65939470881474
68,tensions,113.0
69,escalate,113.0
70,speaker,113.0
71,mrt,113.0
72,12/17/17|,114.0
73,republicans,114.0
74,concocting,114.0
75,email,114.0
76,56歲的劉德華近照，一直默默幫助窮困痴顛的藍潔瑛，萬萬想不到天王還有這樣的一面,114.0
77,motion,114.55844901555032
78,student,115.0
79,'re,115.02032783702923
80,cohen,115.08253968253969
81,take,115.46269841269842
82,trombe,116.0
83,marine,116.0
84,شاهقة,116.0
85,مائية,116.0
86,20180107,116.0
87,الرباط,116.0
88,maroc,116.0
89,rabat,116.0
90,داریوش,116.0
91,فرهنگ,116.0
92,dariush,116.0
93,farhang,116.0
94,durst,116.0
95,gab,118.0
96,joncas,118.0
97,social,118.0
98,19th,118.0
99,tucker,118.18689429012345
100,carlson,118.18689429012345
101,angry,118.85466535504503
102,secretly,119.0
103,east,119.0
104,پانته‌آ,119.0
105,بهرام,119.0
106,pantea,119.0
107,bahram,119.0
108,family,119.52127165378313
109,aziz,119.80416666666667
110,习近平女儿露真容！最可信真假鉴别（《万维博评》20171127）,120.0
111,‧74,120.0
112,ft.,120.18573639486678
113,bill,120.70644637528433
114,rocco,121.0
115,dispirito,121.0
116,dimanches,121.0
117,virginie,121.0
118,fortin,121.0
119,wagner,121.0
120,quickest,121.66666666666667
121,jays,122.0
122,halladay,122.0
123,shahrzad,122.0
124,شهرزاد,122.0
125,فصل,122.0
126,چهاردهم,122.0
127,تیزر,122.0
128,mystery,122.24840994268077
129,فرشاد,123.0
130,پیوس,123.0
131,farshad,123.0
132,pious,123.0
133,لیلی,123.0
134,رشیدی,123.0
135,leili,123.0
136,rashidi,123.0
137,seen,123.66902281746033
138,خسرو,124.0
139,حیدری,124.0
140,khosro,124.0
141,heidari,124.0
142,invincible,125.0
143,meeting,125.71805555555557
144,france,126.0
145,/cizeron,126.0
146,سعید,127.0
147,راد,127.0
148,saeid,127.0
149,rad,127.0
150,thanksgiving,127.75833333333333
151,durbin,128.0
152,jeremiah,128.0
153,brent,128.0
154,behar,128.0
155,highlights,128.6693483154367
156,سام,129.0
157,درخشانی,129.0
158,derakhshani,129.0
159,180324,129.0
160,蒋方舟自愈讨好型人格,129.0
161,赵又廷高圆圆撒狗粮气哭高晓松,129.0
162,国语720p,129.0
163,nb_full,130.0
164,「女模教母」再爆猛料,130.0
165,不爽阿倫替曾志偉喊冤，踢爆他們蛇鼠一窩，到內地踢表演賽，其實是去叫雞,130.0
166,proclaim,131.0
167,npa,131.0
168,terror,131.0
169,dipshit,131.0
170,beer,131.0
171,news-april/30/2018-jamaica,131.0
172,cvm,131.0
173,try,131.8579323505579
174,مهدی,132.0
175,دارابی,132.0
176,هوروش,132.0
177,بند,132.0
178,things,132.25426686983
179,january,132.34168262628603
180,playlist,132.5937018257873
181,pence,133.0
182,h.i.v,133.0
183,las,134.0
184,montreal,134.0
185,impact,134.0
186,سامان,134.0
187,احتشامی,134.0
188,saman,134.0
189,ehteshami,134.0
190,《最强大脑之燃烧吧大脑》20180126,134.66666666666666
191,南开兄弟,134.66666666666666
192,遭遇最难题目,134.66666666666666
193,看完范冰冰和曾志偉的這幾張飯局舊照，網友：李晨估計臉都綠了！,135.0
194,buffett,135.0
195,الأربعون,136.0
196,السادسة,136.3447585978836
197,سید,137.0
198,موسوی,137.0
199,mohammad,137.0
200,moosavi,137.0
201,第32集（主演,137.0
202,曾志偉現任夫人稱對丈夫絕望！躲在加拿大，眼不見他為凈！,138.0
203,艺人围开拖,138.0
204,曾志伟向阿徐,138.0
205,屌你老x，你以为自己真系好靓呀,138.0
206,打拈柒你个人妖唔好走,138.0
207,第四集,138.0
208,s03e04,138.0
209,第五集,138.0
210,s03e05,138.0
211,食文化,138.0
212,oscars,138.0
213,mean,138.0
214,برنامه,138.16666666666666
215,topics,139.39801587301588
216,oups,140.0
217,patineuse,140.0
218,dévoile,140.0
219,téton,140.0
220,lors,140.0
221,elizabeth,140.9515873015873
222,第26集（主演,141.0
223,fiance,142.0
224,point,142.0
225,s05x10,142.0
226,"10,2017",142.0
227,大结局（张嘉译、姜武、车晓,144.0
228,challenge,144.49809857117026
229,nick,144.90212632796363
230,nb_new,145.0
231,漂亮媳妇要离婚,145.0
232,得知真相后全场观众都哭惨了,145.0
233,主持人更是仰着脖子不让眼泪落下！,145.0
234,nani,146.29166666666666
235,ice,146.32038560205226
236,s09e07,147.0
