,0,1
0,ndiaye,100.41666666666667
1,demeure,100.5
2,malheur,101.0
3,s'abat,101.0
4,prépare,101.0
5,31/03/2018,101.0
6,perte,101.33333333333333
7,recadre,101.49066633597883
8,daniel,101.925
9,ahhh,102.0
10,kisidjora,102.0
11,awuti,102.0
12,asambuisi,102.0
13,ehh,102.0
14,idee,102.0
15,l'équipage,102.0
16,chapeau,102.0
17,paille,102.0
18,regardent,102.0
19,souvenir,102.0
20,ndjitobe,102.0
21,n'anr,102.0
22,malanga,102.0
23,voyance,102.0
24,message,102.16599955209767
25,compilation,102.2611111111111
26,wazekwa,102.4375
27,haul,102.48606701940035
28,jaz,102.5
29,ekoyinda,103.0
30,cambriolée,103.0
31,cable,103.0
32,d'omar,103.0
33,jamel,103.0
34,debbouze,103.0
35,omar,103.0
36,inside,103.0
37,fabonymous,103.0
38,year,103.53611111111111
39,rendre,103.725
40,bert,103.786860670194
41,hommes,103.94419642857143
42,reddy,104.0
43,amisi,104.0
44,traite,104.0
45,cela,104.0
46,succès,104.0
47,enregistrements,104.0
48,t'oublie­rai,104.0
49,parents,104.08002755731923
50,pawolinitil,104.16666666666667
51,record,104.23611111111113
52,ios,104.5
53,android,104.5
54,félicitation,104.5
55,sankara,104.75
56,unicef,105.0
57,sointailbeau,105.0
58,l'emission,105.0
59,flashback,105.0
60,sauro,105.0
61,aokiji,105.0
62,21/01/2018,105.0
63,bardot,105.0
64,document,105.0
65,doute,105.0
66,taxi,105.33333333333334
67,mbrouk,105.45833333333334
68,nssa,105.45833333333334
69,akitisi,105.5
70,odieuse,106.0
71,vulgaire,106.0
72,l'ex-femme,106.0
73,l'injustice,106.0
74,laurens,106.0
75,africa,106.0
76,❤nos,106.0
77,duos,106.0
78,neige,106.25
79,mende,106.5
80,grand,106.64668738422306
81,éléments,106.66666666666667
82,degre,107.0
83,e10,107.0
84,énormes,107.0
85,keiler,107.0
86,folle,107.08333333333333
87,قبل,107.50642247991206
88,déc,108.0
89,lufy,108.0
90,cambriolés,108.0
91,va-t-il,108.0
92,lais­ser,108.0
93,veulent,108.0
94,hatem,108.0
95,arfa,108.0
96,enflammé,108.0
97,rousse,108.0
98,divorcé,108.0
99,episodes,108.0
100,léa,108.0
101,inconsolablent,108.0
102,soeur,108.09583333333335
103,conteste,108.5
104,22/04/2018,108.5
105,ماذا,108.95998044317524
106,derniers,109.0
107,mzée,109.0
108,zamasu,109.0
109,avo­cat,109.0
110,contre­dit,109.0
111,calcul,109.0
112,menacée,109.0
113,meur,109.0
114,england,109.0
115,effrayantes,109.0
116,télésiège,109.0
117,s'emballe,109.0
118,éjecte,109.0
119,skieurs,109.0
120,ace,109.0
121,jinbei,109.0
122,barbe,109.0
123,premiere,109.95833333333334
124,raquel,110.0
125,garrido,110.0
126,12/11/17,110.0
127,émouvantes,110.0
128,l'avant,110.0
129,alobeli,110.5
130,الاربعاء,110.58333333333334
131,مقاطعون,110.69593755771605
132,nb_anges,111.0
133,protec­teurs,111.0
134,petites,111.0
135,soeurs,111.0
136,chandelles,111.0
137,métine,111.0
138,dylan/mel,111.0
139,linceciement,111.0
140,gabana,111.0
141,nolly,111.0
142,akoya,111.0
143,pique,111.0
144,equipes,111.0
145,preparent-elles,111.0
146,mimie,111.0
147,mathy,111.0
148,docteur,111.5
149,tanti,111.56047701285522
150,annee,112.0
151,12/01/2018,112.0
152,rwandaise,112.0
153,babeti,112.0
154,naba,112.0
155,cotholique,112.0
156,arrets,112.0
157,transfere,112.0
158,directement,112.0
159,makala,112.0
160,details,112.0
161,open,112.0
162,explose,112.0
163,amadou,112.0
164,barry,112.0
165,1mn,112.0
166,chef,112.0
167,fer,112.16666666666667
168,selon,112.69576884920635
169,justice,112.8550012259474
170,extrait,112.89340277777778
171,trappe,112.98333333333332
172,squeezie,113.0
173,s02,113.0
174,fabrice,113.0
175,désaccord,113.0
176,discute,113.0
177,oups,113.33333333333333
178,patineuse,113.33333333333333
179,gabriella,113.33333333333333
180,papadakis,113.33333333333333
181,téton,113.33333333333333
182,série,113.33333333333333
183,iris,113.5
184,messages,113.5
185,28/01/2018,113.5
186,yinda,113.5
187,colère,113.72083333333335
188,nb_samhini,114.0
189,r-m,114.0
190,thearsenale,114.0
191,the.rm.code,114.0
192,lapo,114.0
193,elkann,114.0
194,italia,114.0
195,customs,114.0
196,texte,114.0
197,corentin,114.0
198,panacloc,114.0
199,jean-marc,114.0
200,exceptionnel,114.0
201,16/03,114.0
202,bayibi,114.0
203,bilamba,114.0
204,sarah,114.10317144058467
205,veut,114.12105012735799
206,marley,114.1813492063492
207,place,114.64166666666667
208,shainachallenge,115.0
209,workshop,115.0
210,dancers,115.0
211,stony.sp,115.0
212,ouais_sherry,115.0
213,l'anniversaire,115.0
214,d'adrien,115.0
215,bakufi,115.0
216,ezali,115.0
217,integralite,115.08333333333334
218,الشارع,115.21805555555555
219,tourne,115.28528250921934
220,chaud,115.5
221,ss11,115.59457789042173
222,ecoutez,115.83333333333333
223,الجدران,115.94166666666668
224,eden,115.95
225,sadc,116.0
226,épouse,116.0
227,alexandra,116.0
228,pastor,116.0
229,الرباط,116.0
230,offshore,116.0
231,flyboys,116.0
232,ali,116.16250000000001
233,savon,116.25
234,مؤثر,116.46111111111111
235,guide,116.54027777777777
236,وراء,116.85833333333332
237,tristre,117.0
238,baleli,117.0
239,ngandu,117.0
240,goût,117.0
241,inconsolable,117.0
242,continuer,117.29166666666667
243,tribunal,117.83333333333333
244,nb_كاملة,118.0
245,dajdu,118.0
246,mâitre,118.0
247,نقلك,118.0
248,15/12/2017,118.0
249,andi,118.0
250,mankolik,118.0
251,s10,118.0
252,project,118.0
253,bord,118.0
254,lisusu,118.3702380952381
255,tête,118.375
256,بايرا,118.75
257,regardez,118.88984083147525
258,portait,119.0
259,ob-sè-ques,119.0
260,hamburger,119.0
261,s'éclatent,119.0
262,e11,119.0
263,bledard,119.0
264,soninke,119.0
265,skecht,119.0
266,n'gnesiguiso,119.0
267,révélations,119.0106801714979
268,spectacle,119.11362681700884
269,قال,119.21009118967453
270,fête,119.3781746031746
271,loi,119.5
272,casting,119.5
273,diamant,119.5
274,تصدق,119.91087962962963
275,bakoyindisa,120.0
276,heros,120.0
277,longue,120.0
278,aly,120.0
279,ngouille,120.0
280,m0rt,120.0
281,l'etudiant,120.0
282,sene,120.0
283,lejochasse,120.5
284,modou,120.56944444444444
285,goals,120.61257784628317
286,guerre,120.64758427869832
287,charly,120.66666666666667
288,mobutu,120.66666666666667
289,justifier,121.0
290,weekend,121.0
291,24-25/02/2018,121.0
292,dicap,121.0
293,spa,121.0
294,mèches,121.0
295,coloriste,121.0
296,roleplay,121.0
297,markle,121.0
298,euros,121.13333333333333
299,aseki,121.33333333333333
300,offre,121.375
301,monsengwo,121.41666666666666
302,avoir,121.44360006434994
303,tolanda,121.5
304,boxe,121.5
305,sorties,121.66666666666667
306,cuisine,121.825
307,asiliki,122.0
308,demission,122.0
309,ému,122.0
310,geste,122.0
311,30/04/2018,122.0
312,epanzani,122.0
313,bahati,122.0
314,lukwebo,122.0
315,claque,122.0
316,pprd,122.0
317,vie,122.04266954920728
318,bad,122.24583333333334
319,mwana,122.33333333333333
320,lesanges10,122.4888888888889
321,tabasser,123.0
322,afy,123.0
323,jeannette,123.0
324,mutakalise,123.0
325,joburg,123.0
326,elezier,123.0
327,basambuisi,123.0
328,azangi,123.0
329,soutient,123.0
330,wana,123.0
331,paix,123.0
332,showcase,123.0
333,feat,123.14643884381042
334,fayulu,123.39166666666668
335,past,123.66666666666667
336,pêche,123.66666666666667
337,melaa3,123.67279858932007
338,greg,123.75277777777778
339,kadhafi,123.83333333333333
340,choses,123.90665147427207
341,disait,124.0
342,engin,124.0
343,était,124.0
344,préservatifs,124.0
345,envoyé,124.0
346,kozua,124.0
347,bienvenue,124.0
348,reviennent,124.0
349,touchant,124.0
350,😢😢😢👊👊✊💪💪💪,124.0
351,comprendre,124.16666666666667
352,bölüm,124.1971823271782
353,mad,124.5
354,mag,124.5
