,0,1
0,nb_anges,111.0
1,bret,111.39253646974784
2,nb_samhini,114.0
3,nb_كاملة,118.0
4,mars,119.14158334418522
5,fairy,128.6676763327405
6,tail,128.6676763327405
7,annonce,131.7991966640449
8,contre,133.20341702664334
9,nb_épisode,136.0
10,tirage,138.97919146825396
11,nb_2017,140.0
12,nb_سامحيني,141.0
13,nb_marseillais,142.0
14,nb_على,143.0
15,fanfiction,154.54669390248384
16,nb_الحلقة,163.0
17,sort,163.1881814521494
18,nb_مسلسل,164.0
19,beauté,165.69022925811296
20,trois,172.66670732381772
21,nb_hallyday,176.0
22,nb_bölüm,182.0
23,gloire,189.91400634171455
24,comment,203.6707853366718
25,tpmp,207.4522118984577
26,semaine,208.63695147319885
27,face,221.15987227107473
28,nb_johnny,230.0
29,hally­day,231.51129176491617
30,على,237.9137597665947
31,colle,244.97099112195033
32,miss,247.78363457699894
33,petite,258.6830832205107
34,épisode,267.82574343786155
35,bande,273.7321586044806
36,laeticia,275.5177125275113
37,nb_...,279.0
38,princes,280.72241227875463
39,conseils,284.7554135401314
40,robe,287.1548230820106
41,france,296.407932205364
42,david,296.9066777513553
43,episode,301.4638429569505
44,sortie,312.0152777777778
45,angéliques,312.07407822228566
46,nb_episode,328.0
47,audio,334.15940989258587
48,après,337.59993243566527
49,lundi,339.7511080013186
50,marseillais,340.0475753350295
51,vacances,342.43093552088345
52,fait,344.18273183318075
53,tueur,345.18309082892415
54,marche,346.9718980971437
55,wapi,361.2528210833785
56,vostfr,376.2592005353583
57,tokomi,379.1786099630017
58,rfm,387.7844660280434
59,...,392.62527214668336
60,l'amour,399.0573109788053
61,officiel,399.9977578580658
62,abdel,406.04375
63,mai,411.9070669013703
64,départ,414.84357606580727
65,prison,416.03662237453904
66,surprise,423.7287891313933
67,amour,445.64059932551584
68,saison,450.01311907372843
69,mercredi,472.2110687981001
70,politique,476.8045634920635
71,sangliers,481.6805555555556
72,coeurs,488.54882757135675
73,brisés,488.54882757135675
74,naye,488.7457647633397
75,pleine,493.44530994468494
76,رمضان,494.8539190284014
77,guidance,500.3077380952381
78,chapitre,502.62777777777774
79,résumé,503.22590780407353
80,lpdla5,510.76271976498043
81,karim,513.4850942460317
82,kabila,521.6528055203308
83,nb_2018,526.0
84,photo,530.6882660934745
85,شاهد,536.8335963862589
86,quoi,541.9765986000882
87,lucy,543.0
88,hanouna,544.2562364969136
89,carine,548.8634903889545
90,février,553.2201198384173
91,secret,555.8306141052572
92,energies,558.7353483245149
93,mpiana,565.7748058545108
94,fils,566.1074307926639
95,marseille,574.0843990786792
96,shaina,608.8556327160494
97,mokonzi,610.6435785769949
98,psg,612.311636472887
99,sylvie,613.0482563746165
100,clip,613.6048832337777
101,ensemble,620.4497630070547
102,finale,625.6336588712907
103,jour,640.0844015648264
104,ras,650.689188373074
105,bath,650.689188373074
106,laurent,653.0954321488697
107,père,672.0582331486341
108,sacré,676.0
109,15/02/2018,676.0
110,culte,678.1083333333333
111,المغرب,679.9506096019884
112,spécial,681.8444444444444
113,reste,692.1487836993551
114,décembre,692.7438043154798
115,cet,696.8481188144234
116,action,697.1901098562254
117,samia,698.9509920634921
118,vartan,704.405094405126
119,mardi,704.6054067460317
120,pona,706.8306827633006
121,soutien,710.3996527777779
122,hixtapeiscoming,716.0
123,vendredi,717.5493854717813
124,حلقة,723.7374151310659
125,lit,724.6821428571428
126,thomas,726.7641477736313
127,fevrier,727.0006696428572
128,الجزائر,729.4715104717918
129,video,730.0111610731199
130,princesses,751.1676182798138
131,jazz,763.6265603956228
132,vue,769.3579998897708
133,frère,769.6666795141815
134,nini,777.5429134724629
135,clem,780.3666666666667
136,pony'vlog,782.0
137,liberté,782.0
138,c'est,787.2818112035543
139,lmea,792.9507847155415
140,booba,793.5401744534997
141,marvin,796.6015407333738
142,show,799.7236361893528
143,plan,803.4728174603175
144,honte,809.6384762114271
145,borax,827.475570436508
146,essayez,844.9454365853674
147,var,847.425
148,avant,852.3427841967778
149,sent,857.0
150,oiseau,857.0
151,patte,857.0
152,partie,867.1427708986648
153,dylan,876.4158471199097
154,berger,884.9715691137567
155,الحلقة,891.3023910785681
156,مسلسل,892.9155771985855
157,tele,898.1316119319853
158,agathe,901.0345238095239
159,auproux,901.0345238095239
160,cette,909.1332855620569
161,version,910.4688492063493
162,neymar,911.3532876943
163,direct,913.2106325244879
164,michel,956.9302447467336
165,jeremstargate,957.3090085716085
166,mise,958.2916721781306
167,fois,968.975968620821
168,éléments,971.5
169,dieudonné,990.8424327070544
170,jael,996.1917505367896
171,laeti­cia,1001.0991600266308
172,kees,1011.3780470198059
173,suite,1012.6912160176774
174,exclusif,1014.1789186507937
175,mois,1026.4593253968253
176,boyoka,1036.6825093694886
177,julien,1045.3901461465107
178,sans,1050.7434715804004
179,j'ai,1051.4026493407678
180,makambu,1052.2215222824877
181,toutes,1068.4438988095237
182,plus,1075.488855749894
183,incroyable,1083.5602736619828
184,point,1095.0185047398588
185,trop,1095.1840740239697
186,nigthcore,1096.0
187,zoo,1097.6571552579367
188,dernier,1098.2516717738877
189,story,1098.3955467039316
190,recettes,1100.8792347172798
191,cyclades,1103.0
192,vidéo,1104.1181162965006
193,confirmé,1111.0
194,btsxnetmarble,1111.0
195,debrief,1122.095238095238
196,relation,1125.9513772059736
197,mal,1131.3308356349628
198,ndeko,1144.7339988175406
199,australia,1148.8956012311705
200,ghost,1150.465040394437
201,adventures,1150.465040394437
202,good,1152.0
203,vybz,1152.0
204,chien,1167.7684523809523
205,accéder,1180.0
206,contenus,1180.0
207,tdb,1187.0
208,ldb,1187.0
209,prévue,1187.0
210,mélenchon,1198.1698412698413
211,français,1202.4362847222221
212,visages,1206.042933951509
213,+love,1208.0
214,series,1208.0
215,revient,1210.4420634920637
216,jikook,1212.0
217,k-idol,1212.0
218,ferre,1218.6567192939544
219,livre,1219.7267676465767
220,jeu,1221.601388888889
221,loeb,1237.625
222,aqababe,1240.5106704437906
223,cohabitation,1241.0
224,douteuse,1241.0
225,lemon,1241.0
226,-16,1241.0
227,l'affaire,1245.8505966476384
228,d'ana,1248.1811652119204
229,noël,1257.6004369171208
230,jade,1258.6794986399311
231,entre,1267.512536515548
232,maison,1269.1403250686628
233,l'avent,1272.5854910714286
234,vivre,1273.900887345679
235,d'un,1276.893902298421
236,deux,1277.7956012201785
237,pascal,1289.5407967409567
238,maëlys,1307.186003637566
239,meilleurs,1315.4359823633479
240,obsèques,1318.5623406534555
241,non,1323.7916666666667
242,qu'il,1324.9472222222223
243,femme,1330.6939690980462
244,soirée,1346.48166005291
245,larmes,1371.6600672907937
246,guides,1378.0
247,poussent,1378.0
248,contacter,1378.0
249,🔴▶▶la,1380.6194444444445
250,testament,1387.4255952380952
251,chepakichui,1394.0
252,joy,1394.0541175265485
253,cadeau,1395.0306744522195
254,interagros,1396.0
255,thème,1396.0
256,iap18,1396.0
257,intimidations,1396.0
258,meeting,1404.7333333333331
259,prés,1410.0
260,boucherie,1413.0
261,charcuterie,1413.0
262,artisanale,1413.0
263,roti,1413.0
264,cuit,1413.0
265,marine,1413.565699404762
266,défi,1415.8684523809522
267,let,1421.74623015873
268,celebrate,1421.74623015873
269,ans,1423.9771811298683
270,koffi,1427.853994894293
271,dragon,1429.1672416918857
272,ball,1429.352172598171
273,affaire,1431.63198069038
