,0,1
0,2018,101.6408076663972
1,nb_vs.,109.0
2,first,111.54109511149484
3,vision,113.33333333333334
4,xfl,113.33333333333334
5,2020,113.33333333333334
6,secret,118.27586076849066
7,life,121.78739243122385
8,nb_2018,125.0
9,northwestern,138.73015873015873
10,university,138.73015873015873
11,trombone,138.73015873015873
12,choir,138.73015873015873
13,2/6/18,138.73015873015873
14,gamecube,144.0
15,controller,144.0
16,like,144.99830757155053
17,song,151.31569003527335
18,factory,156.91558479900362
19,cnn,160.0
20,alisyn,160.0
21,camerota,160.0
22,confronts,160.0
23,literal,160.0
24,nazi,160.0
25,running,160.0
26,gop,160.0
27,congressional,160.0
28,insane,160.0
29,feed,161.2722222222222
30,homeless,161.2722222222222
31,lamar,163.0
32,rihanna,163.0
33,win,163.0
34,rap/sung,163.0
35,cho,165.18333333333334
36,man,165.8621768971769
37,live,166.34879497735113
38,mcdonald,173.9081765864665
39,serve,176.3607142857143
40,romney,176.3607142857143
41,utah,176.3607142857143
42,lucy,179.70672949735447
43,yas,181.0
44,gates,182.0
45,land,182.0
46,arizona,182.0
47,azealia,185.0
48,banks,185.0
49,remy,185.0
50,saying,185.0
51,female,185.0
52,rap,185.0
53,nothing,185.0
54,highlights,195.14739021784638
55,pub,198.0
56,vs.,202.04526487643503
57,made,203.31185169388033
58,refinery29,204.53649811608145
59,teaching,211.5330529238224
60,voices,213.85446428571427
61,influencer,214.51150793650794
62,ufc,220.17637619238366
63,moore,221.8810104963425
64,february,229.70624285147636
65,turkey,232.3357142857143
66,bourbon,232.3357142857143
67,matthew,232.3357142857143
68,mcconaughey,232.3357142857143
69,give,232.3357142857143
70,thanksgiving,232.3357142857143
71,scene,238.25
72,ride,239.13611111111112
73,olympic,239.13611111111112
74,bobsledder,239.13611111111112
75,draw,239.86742677147126
76,sky,250.83333333333331
77,fetty,250.83333333333331
78,wap,250.83333333333331
79,delivering,250.83333333333331
80,premature,250.83333333333331
81,early,250.83333333333331
82,mom,256.4200778109728
83,new,257.008129498024
84,amber,266.6166666666667
85,scholl,266.6166666666667
86,challenges,266.6166666666667
87,grace,279.3567163705659
88,helbig,279.3567163705659
89,trump,282.77976190476187
90,cheerleader,285.8333333333333
91,invisible,285.8333333333333
92,karlie,286.5607182714069
93,kloss,286.5607182714069
94,club,289.79593253968255
95,december,291.16705372889675
96,january,298.6907002523543
97,victoria,300.09762559759014
98,roy,310.945512728285
99,night,314.824249473193
100,rose,321.9052644333547
101,namajunas,321.9052644333547
102,joanna,321.9052644333547
103,jędrzejczyk,321.9052644333547
104,223,321.9052644333547
105,play,325.08772214826894
106,height,327.5
107,weight,327.5
108,bloating,327.5
109,ebook,327.5
110,soon,327.5
111,best,328.0354705140651
112,floor,340.8794918430335
113,merrell,347.2606781364854
114,kendrick,349.7107142857143
115,goes,353.057058486657
116,...,354.8263919568937
117,double,356.8833333333333
118,lesbian,356.8833333333333
119,pictionary,356.8833333333333
120,city,361.1722222222222
121,facing,361.44716820987657
122,death,361.44716820987657
123,doctors,361.44716820987657
124,zooey,366.0
125,bag,366.0
126,spill,366.0
127,try,369.07222631036205
128,fashion,372.5378783064121
129,internet,375.7136569982229
130,girls,376.81242791267607
131,director,377.4
132,lisa,377.4
133,aiken,377.4
134,aimee,377.4
135,time,378.73460535305173
136,news,381.00075767596604
137,anchor,381.00075767596604
138,reaction,382.10378104657866
139,met,382.5131472961695
140,take,383.6027933531059
141,eminem,383.7059523809524
142,beyonce,383.7059523809524
143,morgan,384.84955357142854
144,jeopardy,386.0
145,eye,389.5997023809524
146,edit,392.4329365079365
147,instagrams,392.4329365079365
148,suicide,407.0
149,2.avi,407.0
150,guessing,413.44722222222225
151,objects,413.44722222222225
152,mail,413.44722222222225
153,alexa,417.0833333333333
154,ruins,417.0833333333333
155,families,417.0833333333333
