,0,1
0,nb_vs.,109.0
1,nb_2018,125.0
2,store,215.8838252526794
3,cell,241.3312880291005
4,eeoc,411.66666666666663
5,complainants,411.66666666666663
6,press,411.66666666666663
7,conference,411.66666666666663
8,5pm,411.66666666666663
9,coin,451.3230654761905
10,braille,456.9084308862433
11,dapper,528.7333333333333
12,echo,1242.7
13,single,1282.9166666666665
14,install,1401.8713293650794
15,rob,1426.0
16,phone,1426.0
17,khaled,1648.0
18,custom,1648.0
19,gucci,1648.0
20,jackets,1648.0
21,legendary,1648.0
22,physical,1681.25
23,encoder,1681.25
24,source,1681.25
25,embosser,1681.25
26,solar,1928.0
27,almost,1928.0
28,scratch,1928.0
29,clips,2259.0
30,sample,2259.0
31,dipclip,2373.3333333333335
32,nugget,2373.3333333333335
33,rally,2373.3333333333335
34,testing,2373.3333333333335
35,secure,2373.3333333333335
36,sauce,2373.3333333333335
37,jan,2522.6085317460315
38,first,2682.613343544942
39,wireless,2708.6666666666665
40,charger,2708.6666666666665
41,toyota,2708.6666666666665
42,tacoma,2708.6666666666665
43,lucy,2740.565315702495
44,kitty,2798.984489087302
45,aiy,3114.0
46,conversion,3114.0
47,song,3136.7304706790123
48,life,3243.6900342281965
49,secret,3338.0883450138713
50,michelob,3438.0
51,sport,3438.0
52,internet,3664.0474951440665
53,jansen,3769.166666666667
54,strandbeest,3769.166666666667
55,live,3887.851415045515
56,teaching,3959.738932703145
57,quad9,3975.3333333333335
58,windows,3975.3333333333335
59,talk,4217.3047844213825
60,gamecube,4541.0
61,controller,4541.0
62,wild,4579.537367586117
63,skelly,4767.0
64,skeleton,4767.0
65,wishing,4767.0
66,merry,4767.0
67,mcdonald,4813.094047698379
68,february,4843.66002873665
69,2018,4970.3439776758505
70,opening,5013.0
71,door,5013.0
72,arduino,5013.0
73,electric,5013.0
74,motor,5013.0
75,seat,5276.5115884038805
76,working,5376.288023589065
77,grace,5444.13669385363
78,helbig,5444.13669385363
79,eye,5644.304712301588
80,night,5693.2693994895535
81,guessing,5762.166666666667
82,objects,5762.166666666667
83,mail,5762.166666666667
84,refinery29,5772.325573292448
85,sad,6027.175
86,michael,6133.833333333334
87,john,6147.471468253969
88,mom,6829.502088576162
89,pencil,6912.519047619047
90,rupaul,7036.0
91,drag,7036.0
92,race,7036.0
93,episode,7036.0
94,preview,7036.0
95,fashion,7260.105564687794
96,speaks,7450.647777122248
97,vs.,7601.44494515721
98,winter,7607.238855542544
99,viralhog,7719.016666666667
100,difference,7761.623747895657
101,zealand,7761.623747895657
102,virginia,7811.783333333335
103,director,7851.166666666666
104,lisa,7851.166666666666
105,aiken,7851.166666666666
106,aimee,7851.166666666666
107,act,7854.110102580933
108,frontal,7854.110102580933
109,tbs,7854.110102580933
110,time,7894.880934687329
111,telephone,8021.0
112,slipper,8021.0
113,kendrick,8095.830158730159
114,merrell,8116.0608159405865
115,review,8712.841361027806
116,decorations,8795.0
117,pasta,8795.0
118,guide,9095.244931089803
119,happened,9157.81866016314
120,factory,9186.435777614013
121,feed,9199.78888888889
122,homeless,9199.78888888889
123,ever,9329.571233426694
124,girlfriend,9671.052777777777
125,made,9942.856239313463
126,filming,10098.65329585538
127,alone,10098.65329585538
128,batard,10176.2
129,skipper,10176.2
130,resigns,10176.2
131,espn,10176.2
132,carolyn,10307.083333333332
133,spots,10307.083333333332
134,fluffy,10307.083333333332
135,blythe,10307.083333333332
136,favies,10605.45064484127
137,lazy,10605.45064484127
138,oaf,10605.45064484127
139,faced,10605.45064484127
140,magical,10605.45064484127
141,tunes,10605.45064484127
142,lamar,10754.0
143,rihanna,10754.0
144,win,10754.0
145,rap/sung,10754.0
146,commercial,10774.766870130992
147,chris,10833.67941468254
148,born,10902.383333333335
149,shortened,10902.383333333335
150,limbs,10902.383333333335
151,geoff,10902.383333333335
152,handshake,10902.383333333335
153,reacting,10906.525
154,read,10938.491666666667
155,vision,11111.666666666668
156,xfl,11111.666666666668
157,2020,11111.666666666668
158,zooey,11133.0
159,bag,11133.0
160,spill,11133.0
161,edit,11149.396031746031
162,instagrams,11149.396031746031
163,thanks,11312.366666666665
164,cantina,11312.366666666665
165,girl,11312.366666666665
166,clothes,11335.902282591898
167,height,11336.25
168,weight,11336.25
169,bloating,11336.25
170,ebook,11336.25
171,soon,11336.25
172,...,11465.902836318044
173,father,11675.669929224903
174,sharpening,11812.0
175,machine,11812.0
176,alexis,11905.005208333334
177,usa,11935.011147139403
178,months,11962.664186507936
179,santa,11979.31696068865
180,lucie,12216.127777777778
181,fink,12216.127777777778
182,controversial,12232.733333333332
183,incomplete,12232.733333333332
184,pass,12232.733333333332
185,jesse,12232.733333333332
186,steelers,12232.733333333332
187,patriots,12232.733333333332
188,no.5,12441.666666666668
189,grid,12743.736614853446
190,wolff,12989.0
191,fire,12989.0
192,fury,12989.0
193,theskimm,12989.0
194,sip,12989.0
195,skimm,12989.0
196,northwestern,13188.729365079364
197,university,13188.729365079364
198,trombone,13188.729365079364
199,choir,13188.729365079364
200,2/6/18,13188.729365079364
201,harvard,13205.806102793811
202,schools,13205.806102793811
203,karlie,14014.09707239791
204,kloss,14014.09707239791
205,happy,14337.26374465764
206,influencer,14457.243253968254
207,tutorial,14961.992427666906
208,get,15003.660318582255
209,coming,15349.925365710678
210,home,15423.256571130003
211,cho,15449.883333333331
212,'till,15487.5
213,corgi,15673.43333333333
214,snowplow,15673.43333333333
215,facing,15675.375178020282
216,death,15675.375178020282
217,doctors,15675.375178020282
218,probably,15738.3123015873
219,terminal,15805.168730659772
220,illness,15805.168730659772
221,still,15805.168730659772
222,theory,15954.062804808493
223,beme,16077.640606699986
224,last,16085.13552618374
225,news,16416.434380594972
226,anchor,16416.434380594972
227,brittany,16621.182138802393
228,like,16675.725500082273
229,history,16701.365425272532
230,feel,16904.65709325397
231,'re,17198.72110095248
232,serve,17294.795238095237
233,romney,17294.795238095237
234,utah,17294.795238095237
235,goodbye,17438.660339243124
236,azealia,17514.166666666668
237,banks,17514.166666666668
238,remy,17514.166666666668
239,saying,17514.166666666668
240,female,17514.166666666668
241,rap,17514.166666666668
242,nothing,17514.166666666668
243,best,17529.296522017998
244,new,17952.298727585687
245,bowl,18046.95887988169
246,coachella,18064.956720343802
247,loving,18078.700605709877
248,memory,18078.700605709877
249,routine,18079.680870219792
250,japan,18314.54464285714
251,ride,18575.968253968254
252,olympic,18575.968253968254
253,bobsledder,18575.968253968254
254,met,18688.271673049265
255,logos,18733.15
256,facts,19020.429629905455
257,evacuating,19050.325685125063
258,flood,19050.325685125063
259,philippines,19050.325685125063
260,tropical,19050.325685125063
261,storm,19050.325685125063
262,vinta,19050.325685125063
263,cagayan,19050.325685125063
264,oro,19050.325685125063
265,prank,19161.0
266,2017,19244.72883543987
267,camera,19359.197966731135
268,true,19366.488904610986
269,pre-aztec,19464.716666666667
270,skeletons,19464.716666666667
271,found,19464.716666666667
272,arranged,19464.716666666667
273,spiral,19464.716666666667
274,shape,19464.716666666667
275,geographic,19464.716666666667
276,floor,19507.247470238093
277,girls,19629.648568683406
278,anna,19699.354203960906
279,wrong,19703.482102723665
280,hijacks,20050.0
281,elf,20050.0
282,shelf,20050.0
283,amber,20406.23333333333
284,scholl,20406.23333333333
285,challenges,20406.23333333333
286,december,20910.297991082676
287,list,21404.397097437002
288,presidents,21496.444482941184
289,nyc,21650.0
290,holiday,21650.0
291,adventures,21650.0
292,granulated,22032.85
293,sugar,22032.85
294,honey,22032.85
295,talking,22191.23333333333
296,undercover,22191.23333333333
297,week…,22191.23333333333
298,turkey,22621.05
299,bourbon,22621.05
300,matthew,22621.05
301,mcconaughey,22621.05
302,give,22621.05
303,thanksgiving,22621.05
304,animating,22770.666666666668
305,junk,22770.666666666668
306,famous,22868.793542973603
307,cnn,22882.666666666668
308,alisyn,22882.666666666668
309,camerota,22882.666666666668
310,confronts,22882.666666666668
311,literal,22882.666666666668
312,nazi,22882.666666666668
313,running,22882.666666666668
314,gop,22882.666666666668
315,congressional,22882.666666666668
316,insane,22882.666666666668
317,january,22936.367623699163
318,baby,22948.054964279796
319,april,23148.352331349208
320,favs,23148.352331349208
321,keke,23175.833333333336
322,bossy,23175.833333333336
323,explicit,23175.833333333336
324,paper,23372.484186253045
325,restaurant,23377.90119047619
326,artist,23473.618197897198
327,1950,23506.0
