,0,1
0,fun,7602365.0
1,dogs,7602365.0
2,excited,7602365.0
3,careful,6744540.0
4,christina,3333451.0
5,aguilera,3333451.0
6,carpool,3333451.0
7,karaoke,3333451.0
8,extended,3333451.0
9,cut,3333451.0
10,orders,2339733.3333333335
11,bong,2339733.3333333335
12,package,2339733.3333333335
13,wants,2339733.3333333335
14,open,2339733.3333333335
15,drip,2080134.6522321429
16,pet,1916641.4166666667
17,bartier,1908702.9211513235
18,savage,1908702.9211513235
19,daughter,1686088.4443244743
20,jorge,1650995.0
21,fiance,1650995.0
22,arrested,1650995.0
23,anfisa,1650995.0
24,uzi,1272891.718297798
25,vert,1272891.718297798
26,way,1272891.718297798
27,goes,1272891.718297798
28,remix,1272891.718297798
29,nicki,1272891.718297798
30,minaj,1272891.718297798
31,head,1164201.0
32,see,937859.5
33,danielle,937057.9702876984
34,bregoli,937057.9702876984
35,jake,807414.5833333333
36,ssy,807414.5833333333
37,period,700593.75
38,yoga,700593.75
39,pants,700593.75
40,michelin-starred,633130.0
41,meal,633130.0
42,1.50,633130.0
43,kittens,627046.6666666666
44,sergio,550817.0355976893
45,ramos,550817.0355976893
46,demarco,550817.0355976893
47,flamenco,550817.0355976893
48,otra,550817.0355976893
49,estrella,550817.0355976893
50,corazón,550817.0355976893
51,videoclip,550817.0355976893
52,oficial,550817.0355976893
53,vamosespaña,550817.0355976893
54,1065,545235.0
55,danica,545235.0
56,patrick,545235.0
57,showing,541606.1166666666
58,looked,541606.1166666666
59,lssc,540313.2162698413
60,uncut,540313.2162698413
61,james,540313.2162698413
62,comey,540313.2162698413
63,arrives,511845.8980654762
64,greatest,501742.3572104545
65,airplane,501742.3572104545
66,seat,501742.3572104545
67,emirates,501742.3572104545
68,class,501742.3572104545
69,suite,501742.3572104545
70,yachty,501517.25785032805
71,gucci,501517.25785032805
72,flip,501517.25785032805
73,flops,501517.25785032805
74,nightmare,492996.3166666666
75,return,492996.3166666666
76,elm,492996.3166666666
77,danaher,449039.0
78,decorating,429397.0833333334
79,lunch,429397.0833333334
80,date,429397.0833333334
81,revealing,425037.0
82,lot,425037.0
83,chad,412810.0
84,parties,412810.0
85,mom,394866.15582506615
86,bhad,386657.4183670016
87,bhabie,386657.4183670016
88,7-eleven,386024.67372134037
89,cardi,383579.7020088291
90,brother,362052.959342838
91,logan,362052.959342838
92,sinclair,347830.07300485007
93,script,347830.07300485007
94,stations,347830.07300485007
95,versus,346725.0
96,kylo,346725.0
97,ren,346725.0
98,duel,346725.0
99,holland,345402.3001269904
100,홀랜드,345402.3001269904
101,'neverland,345402.3001269904
102,네버랜드,345402.3001269904
103,lost,339690.1205134548
104,member,339690.1205134548
105,rip,339690.1205134548
106,mackenzie,339690.1205134548
107,solar,332236.0
108,power,332236.0
109,migos,329991.69995403825
110,alexa,322376.0
111,teaching,322376.0
112,tragedy,322376.0
113,darth,322376.0
114,plagueis,322376.0
115,wise,322376.0
116,suzy,313836.57398406445
117,'다른사람을,313836.57398406445
118,사랑하고,313836.57398406445
119,slaughterbots,308760.09563492064
120,seventeen,286517.52183159
121,political,283910.1155478395
122,correctness,283910.1155478395
123,debate,283910.1155478395
124,stephen,283910.1155478395
125,dyson,283910.1155478395
126,michelle,283910.1155478395
127,goldberg,283910.1155478395
128,normal,280280.77743055555
129,stranger,270274.6666666667
130,noah,270274.6666666667
131,schnapp,270274.6666666667
132,raw,270274.6666666667
133,word,270274.6666666667
134,lil,265233.84345695784
135,audio,265233.84345695784
136,blackpink,262418.31937252666
137,intro,262418.31937252666
138,마지막처럼,262418.31937252666
139,seoul,262418.31937252666
140,reviews,259931.0
141,street,255045.90401785716
142,awards,251442.37277490104
143,a-frame,240524.06901388217
144,hut,240524.06901388217
145,charlamagne,239828.35571077548
146,top,239005.64345899472
147,dan,239005.64345899472
148,memes,239005.64345899472
149,女子mjk！！！,230631.8972222222
150,kanye,227187.01171100594
151,west,227187.01171100594
152,casey,224221.05833333332
153,neistat,224221.05833333332
154,merch,224221.05833333332
155,dressed,223431.4342106164
156,1977,223431.4342106164
157,roasting,221485.33333333334
158,peeps,221485.33333333334
159,1117,218772.25793650793
160,tim,218772.25793650793
161,kennedy,218772.25793650793
162,ashley,208474.0
163,graham,208474.0
164,changing,187030.0
165,ceo,187030.0
166,patreon,187030.0
167,feat,185262.89182755217
168,cobra,183196.01539161263
169,kai,183196.01539161263
170,karate,183196.01539161263
171,sensei,183196.01539161263
172,angry,181975.31968689556
173,grandpa,181975.31968689556
174,tribute,181975.31968689556
175,slaughter,180604.5833333333
176,nasty,174642.8880952381
177,amazing,174642.8880952381
178,night,174642.8880952381
179,cat,170624.0
180,flashbacks,170624.0
181,daniel,168898.14393226377
182,doubt,163048.0
183,jeff,162928.57777777777
184,novitzky,162928.57777777777
185,describe,162834.0
186,perfect,162834.0
187,koji,162834.0
188,illustrator,162834.0
189,lime,157641.3827624582
190,let,157339.11319248725
191,update,152138.04363160374
192,azaria,151789.1753968254
193,'the,151789.1753968254
194,right,151789.1753968254
195,thing,151789.1753968254
196,apu,151789.1753968254
197,kendall,151382.66666666666
198,jenner,151382.66666666666
199,beme,151299.76498884
200,vader,142800.66666666666
201,always,142800.66666666666
202,youtube,142685.58682474814
203,crazy,141852.0
204,friday,141852.0
205,must,141852.0
206,watch,141852.0
207,pregnancy,141638.81137235448
208,miscarriages,141638.81137235448
209,heart,141638.81137235448
210,beat,141638.81137235448
211,carter,140068.17662277538
212,still,140068.17662277538
213,praying,140068.17662277538
214,donald,140068.17662277538
215,maybe,139912.9356236881
216,eat,139912.9356236881
217,blades,139912.9356236881
218,grass,139912.9356236881
219,ft.,139860.01337075923
