,0,1
0,tribute,306711.0
1,broke,258953.08185074956
2,pick,151734.66666666666
3,color,151734.66666666666
4,rip,134861.86388888888
5,randy,126093.0
6,team,126093.0
7,jitt,126093.0
8,quan,126093.0
9,prod,126093.0
10,morten,126093.0
11,customized,120361.0
12,mascara,120361.0
13,christina,115998.66666666667
14,aguilera,115998.66666666667
15,extended,115998.66666666667
16,140,102881.0
17,logan,95203.33333333334
18,top,94536.25
19,memes,94536.25
20,daddy,90631.78855820106
21,speechless,90631.78855820106
22,online,80856.66666666667
23,melting,69810.57658730159
24,sephora,69810.57658730159
25,together,69810.57658730159
26,mommy,65275.5546262309
27,splitting,63273.333333333336
28,bullets,63273.333333333336
29,knockoff,62650.0
30,cutting,58885.73333333332
31,sword,58885.73333333332
32,mulan,58885.73333333332
33,tom,54618.33333333333
34,holland,54618.33333333333
35,yale,54212.666666666664
36,graduation,54212.666666666664
37,speaker,54212.666666666664
38,rebecca,54212.666666666664
39,shaw,54212.666666666664
40,ben,54212.666666666664
41,kronengold,54212.666666666664
42,pants,52680.666666666664
43,dog,52012.0
44,walk,52012.0
45,'avengers,50802.8
46,los,50802.8
47,angeles,50802.8
48,a-frame,48920.61666666666
49,blackpink,47247.816666666666
50,intro,47247.816666666666
51,마지막처럼,47247.816666666666
52,seoul,47247.816666666666
53,angry,46224.10471230159
54,grandpa,46224.10471230159
55,airplane,45735.86507936508
56,emirates,45735.86507936508
57,class,45735.86507936508
58,idiot,45513.0
59,squat,45513.0
60,toilets,45513.0
61,believe,41930.0
62,obama,41930.0
63,"1,000",41333.33333333333
64,lipstick,40723.07919211961
65,feeling,40096.2
66,different,39654.48333333334
67,u.s.,39654.48333333334
68,cities,39654.48333333334
69,daughter,39527.01691268444
70,uzi,38296.52356150794
71,vert,38296.52356150794
72,way,38296.52356150794
73,remix,38296.52356150794
74,nicki,38296.52356150794
75,minaj,38296.52356150794
76,insta,38213.174999999996
77,celebs,38213.174999999996
78,recommended,38213.174999999996
79,homemade,38124.0
80,boxed,38124.0
81,buys,36226.666666666664
82,domo,34998.46666666666
83,wilson,34998.46666666666
84,reacted,34998.46666666666
85,kid,34216.0
86,orders,34216.0
87,bong,34216.0
88,package,34216.0
89,arrives,34216.0
90,wants,34216.0
91,announcement,33954.9911122953
92,pregnancy,33954.99111227021
93,maybe,33259.722222222226
94,eat,33259.722222222226
95,blades,33259.722222222226
96,grass,33259.722222222226
97,fastest,33128.666666666664
98,clapper,33128.666666666664
99,bonus,33128.666666666664
100,clip,33128.666666666664
101,nova,32510.27886904762
102,outfits,32510.27886904762
103,picked,31892.0
104,blindfolded,31892.0
105,tech,31743.17222222222
106,instagram,31031.161904761906
107,abandoned,29584.128543871255
108,turned,29584.128543871255
109,wonderland,29584.128543871255
110,romwe,29582.992460317462
111,bartier,29458.28895417597
112,based,28806.85063925465
113,features,28806.85063925465
114,according,27805.127777777776
115,zodiac,27805.127777777776
116,sign,27805.127777777776
117,audio,27328.15259665421
118,....,26657.399999999998
119,cant,26657.399999999998
120,without,26657.399999999998
121,longer,26657.399999999998
122,tours,26286.498511904763
123,outfit,26243.248115079365
124,mall,26178.248880070547
125,childish,25233.0
126,gambino,25233.0
127,135,24900.516666666666
128,interviewing,24821.638839285715
129,head,24821.638839285715
130,business,24821.638839285715
131,plays,23098.06927609638
132,puppies,23098.06927609638
133,bullet,22972.1
134,racing,22972.1
135,could,22800.95625
136,perfect,22548.82888233826
137,bts,22299.535642536546
138,second,21590.666666666668
139,salad,21590.666666666668
140,warning,20923.917322530862
141,foul,20923.917322530862
142,language,20923.917322530862
143,beginning,20670.0
144,fired,20583.333333333332
145,hiding,20078.264682539684
146,freddie,19597.31666666667
147,bedroom,19597.31666666667
148,answering,19590.95327642139
149,cut,19584.158794642855
150,karaoke,19577.013228064374
151,bacon,19504.319196428572
152,see,19251.541666666668
153,voice,19240.0
154,250,19240.0
155,cartoons,19240.0
156,"10,000",19100.63333333333
157,subscribers,19100.370589675884
158,felix,18818.963206403896
159,marzia,18818.963206403896
160,mystical,18510.73333333333
161,villa,18510.73333333333
162,montezuma,18510.73333333333
163,mansion,18510.73333333333
164,lips,18412.666666666668
165,permanently,18412.666666666668
166,tattooed,18412.666666666668
167,100,18228.876324404762
168,feat,18160.804189599992
169,1977,17491.76974206349
170,tucker,17092.0
171,carlson,17092.0
172,stole,17092.0
173,stephen,17092.0
174,colbert,17092.0
175,panda,17092.0
176,products,16945.97338734568
177,speech,16941.475000000002
178,underground,16898.82768408289
179,swimming,16898.82768408289
180,pool,16898.82768408289
181,following,16892.599866672037
182,simply,16892.599866672037
183,nailogical,16892.599866672037
184,nail,16892.599866672037
185,ran,16889.333333333332
186,miles,16889.333333333332
187,want,16703.284523809525
188,marriage,16703.284523809525
189,kittens,16610.15
190,greatest,16553.368195572682
191,macaron,16472.15
192,corden,16453.260038943503
193,let,16342.283404162823
194,dan,16296.248868193752
195,120,16194.144841269841
196,taking,15775.947023809524
197,quizzes,15775.947023809524
198,camila,15775.947023809524
199,mendes,15775.947023809524
200,denton|,15775.947023809524
201,ultimate,15765.0
202,red,15765.0
203,lip,15765.0
204,nicole,15765.0
205,guerriero,15765.0
206,hamill,15528.0
207,luke,15528.0
208,skywalker,15528.0
209,nighttime,15507.0
210,costar,15507.0
211,vanessa,15507.0
212,fries,14837.098147367358
213,bagel,14550.31746031746
214,proposal,14415.84434714018
215,fan,14360.327044711472
216,groom,14150.0
217,miraculously,14150.0
218,walks,14150.0
219,aisle,14150.0
220,paralyzed,14150.0
221,cardi,14111.423359407918
222,thin,14012.0
223,really,13792.076149475524
224,ending,13667.783353888588
225,daily,13667.783353888588
226,clickbait,13667.783353888588
227,cakes,13478.75
228,carpool,13464.561386211846
229,pho,13396.11939484127
230,erika,13333.66526892454
231,costell,13333.66526892454
232,chitty,13333.66526892454
233,migos,13322.215999779542
234,whip,13322.215999779542
235,stir,13322.215999779542
236,fry,13322.215999779542
237,amateur,13294.666666666666
238,professional,13294.666666666666
239,raid,13294.666666666666
240,fridge,13294.666666666666
241,swap,13165.502777777778
242,moving,13122.83253968254
243,cheese,13101.0
244,trying,12959.344229720862
245,historic,12948.899603174603
246,disappearance,12948.899603174603
247,louis,12948.899603174603
248,prince,12948.899603174603
249,good,12903.7290073336
250,grammy,12698.0
251,performance,12698.0
252,need,12477.916666666668
253,jake,12435.354079304938
254,tokyo,12193.75
255,wish,12141.961425278661
256,parents,12056.0
257,poppy,12056.0
258,entire,11987.32941965679
259,breaks,11859.057093253969
260,create,11839.0
261,eyebrows,11839.0
262,friends,11811.25
263,frank,11810.131806657848
264,ocean,11810.131806657848
265,river,11810.131806657848
266,accepted,11742.916666666668
267,celebrating,11740.416666666668
268,amas,11717.0
269,kingsley,11717.0
270,wearing,11700.01716104337
271,facebook,11618.116757832573
272,couple,11577.75
273,ned,11577.75
274,ariel,11577.75
275,'ve,11496.097771567745
276,flipping,11443.677380952382
277,supercar,11443.677380952382
278,lime,11413.208388337807
279,mastered,11384.68387180335
280,shiny,11384.68387180335
281,dirt,11384.68387180335
282,shooting,11357.49126984127
283,toast,11163.711803902117
284,platform,10950.484862213529
285,crocs,10950.484862213529
286,baking,10921.25
287,liza,10781.71580518729
288,koshy,10781.71580518729
289,bit,10614.833333333334
290,another,10601.411904761904
291,relationship,10601.411904761904
292,something,10598.863974954327
293,james,10586.536166409216
294,miscarriages,10444.300000000001
295,heart,10444.300000000001
296,beat,10444.300000000001
297,savage,10370.0859302784
298,dollar,10308.180555555557
299,vlogs,10214.664964690044
300,ranz,10165.833333333334
301,niana,10165.833333333334
302,gourmet,10070.0
303,mac,10070.0
304,fancy,10070.0
305,dressed,10065.389551083057
306,tweets,9999.960530179382
307,questions,9939.128861833959
308,jews,9855.75
309,helping,9801.244444444445
310,shane,9801.244444444445
311,dawson,9801.244444444445
312,attitude,9801.244444444445
313,skit,9801.244444444445
314,paul,9798.947810062602
315,moment,9628.666666666666
316,meghan,9576.1
317,markle,9576.1
318,pre-royal,9576.1
319,rituals,9576.1
320,carnivorous,9562.115275022046
321,plants,9562.115275022046
322,round,9554.130952151685
323,vogue,9550.17510807742
324,kylie,9525.764285714286
325,jordyn,9525.764285714286
326,hair,9500.628442351972
327,decorator,9381.508333333335
328,tia,9380.738888888889
329,mowry,9380.738888888889
330,anastasia,9278.0
331,become,9278.0
332,infinity,9042.597317164891
333,bottled,9034.0
334,hip,8833.0
335,hop,8833.0
336,open,8798.403968253968
337,mamrie,8606.033333333333
338,yoga,8439.48780786956
339,150,8436.701190476191
340,"159,000",8436.701190476191
341,awards,8338.11473853097
342,hart,8327.767361722548
343,leave,8317.497222222222
344,asking,8305.462482049843
345,strangers,8305.462482049843
346,think,8305.462482049843
347,transgender,8305.462482049843
348,nikita,8305.462482049843
349,dragun,8305.462482049843
350,idol,8147.0
351,exposes,8147.0
352,experiences,8147.0
353,scandals,8147.0
354,slave,8147.0
355,bang,8087.008747991601
356,paint,7966.077777777778
357,drill,7966.077777777778
358,joey,7870.905487947338
359,graceffa,7870.905487947338
360,restaurants,7852.916666666666
361,francia,7851.0748615704
362,raisa,7851.0748615704
363,explains,7851.0748615704
364,became,7851.0748615704
365,selena,7851.0748615704
366,gomez,7851.0748615704
367,kidney,7851.0748615704
368,donor,7851.0748615704
369,period,7847.033333333333
370,gone,7822.410921401224
371,rubber,7762.819444444444
372,wrecking,7762.819444444444
373,art,7748.3452348737965
374,guys,7650.101190476191
375,medical,7625.3775387002015
