,0,1
0,genre,7172963.0
1,ariana,4594117.0
2,grande,4594117.0
3,macaulay,3513749.3333333335
4,culkin,3513749.3333333335
5,responds,3513749.3333333335
6,conspiracy,3513749.3333333335
7,theories,3513749.3333333335
8,anitta,3079465.126190476
9,balvin,3079465.126190476
10,juanpa,3079465.126190476
11,zurita,3079465.126190476
12,poo,2677475.116460037
13,bear,2677475.116460037
14,bieber,2677475.116460037
15,jay,2677475.116460037
16,electronica,2677475.116460037
17,hard,2677475.116460037
18,reality,2677475.116460037
19,london,2635367.0
20,customs,2635367.0
21,agent,2635367.0
22,married,2635367.0
23,heart,2578951.0
24,surgery,2578951.0
25,lilly,2453693.3333333335
26,singh,2453693.3333333335
27,pays,2223948.0
28,mother,2223948.0
29,gloria,2223948.0
30,popular,2101991.0666666664
31,guy,2101991.0666666664
32,acts,2074816.6666666667
33,around,2074816.6666666667
34,cry,2015271.0
35,nintendo,2015271.0
36,labo,2015271.0
37,tana,1881309.0
38,mongeau,1881309.0
39,roseanne,1847988.0
40,cancellation,1847988.0
41,marvel,1798487.9305555557
42,bunch,1798487.9305555557
43,downtown,1796365.3466356522
44,keeping,1651266.3833333333
45,gonzalez,1651266.3833333333
46,license,1630700.8333333335
47,offensive,1629871.0
48,shane,1629871.0
49,dawson,1629871.0
50,graduated,1590506.9666666668
51,free,1590506.9666666668
52,backs,1558898.0
53,fired,1558898.0
54,sirens,1523236.0
55,fails,1500736.0
56,december,1500736.0
57,failarmy,1500736.0
58,please,1491679.3333333333
59,photoshop,1491679.3333333333
60,photo,1491679.3333333333
61,409,1491679.3333333333
62,weddings,1459033.0
63,sings,1456848.1952380952
64,prince,1384717.3333333333
65,draws,1372344.0
66,rush,1371506.0
67,pass,1371506.0
68,radical,1371506.0
69,tax,1371506.0
70,guest,1365999.0
71,margot,1365999.0
72,robbie,1365999.0
73,horibal,1352148.0587301587
74,speling,1352148.0587301587
75,blake,1337261.0
76,shelton,1337261.0
77,havana,1333056.0
78,378,1329350.0
79,country,1315873.0
80,honeymoon,1283073.0
81,410,1283073.0
82,josh,1258184.6666666667
83,brolin,1258184.6666666667
84,tries,1258184.6666666667
85,voices,1258184.6666666667
86,thanos,1258184.6666666667
87,tells,1221048.0
88,lyric,1217969.2799245247
89,goat,1186570.0
90,khloé,1186570.0
91,kardashian,1186570.0
92,stewart,1141627.0
93,maroon,1134859.0
94,busks,1134859.0
95,disguise,1134859.0
96,interviews,1122071.1305555555
97,shrek,1109004.0
98,414,1109004.0
99,tribute,1088985.0
100,plays,1088804.0
101,horse,1088804.0
102,justin,1082216.6235897397
103,generation,1057617.3333333333
104,gap,1057617.3333333333
105,91-year-old,1057617.3333333333
106,woman,1057617.3333333333
107,14-year-old,1057617.3333333333
108,boy,1057617.3333333333
109,dance-off,1046871.25
110,jennifer,1046871.25
111,lopez,1046871.25
112,demand,1043423.45
113,gigi,1035804.0
114,hadid,1035804.0
115,pair,1035804.0
116,eyelovemore,1035804.0
117,mules,1035804.0
118,clean,1020652.0
119,room,1020652.0
120,trevor,999619.0
121,french,999619.0
122,audience,999619.0
123,member,999619.0
124,expiration,986127.0833333333
125,debuts,953710.0
126,never,953710.0
127,peanuts,895766.0
128,riverdale,895766.0
129,latino,894945.3333333334
130,hunger,894945.3333333334
131,stylists,893371.25
132,flapping,893371.25
